Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,682.159973,683.090027,667.710022,669.369995,669.369995,539500
2019-01-03,671.97998,673.609985,656.849976,657.02002,657.02002,656300
2019-01-04,655.619995,664.48999,648.950012,664.48999,664.48999,554500
2019-01-07,672.76001,675.309998,669.070007,672.840027,672.840027,584300
2019-01-08,674.530029,675.049988,667.01001,668.48999,668.48999,623500
2019-01-09,672.380005,681.119995,671.950012,679.73999,679.73999,622000
2019-01-10,680.609985,685.650024,678.22998,683.340027,683.340027,735100
2019-01-11,686.090027,688.01001,683.590027,686.330017,686.330017,701500
2019-01-14,687.419983,687.419983,682.539978,683.090027,683.090027,613300
2019-01-15,684.969971,691.559998,684.320007,690.390015,690.390015,639000
2019-01-16,692.719971,693.5,687.429993,693.380005,693.380005,788300
2019-01-17,694.940002,696.210022,686.27002,686.349976,686.349976,862700
2019-01-18,690.830017,696.340027,689.799988,696.340027,696.340027,820000
2019-01-21,698.73999,698.73999,692.950012,695.619995,695.619995,794300
2019-01-22,698,698.299988,692.450012,694.549988,694.549988,794400
2019-01-23,691.5,697.059998,690.909973,695.630005,695.630005,683200
2019-01-24,696.969971,704.780029,696.799988,704.409973,704.409973,605800
2019-01-25,705.659973,712.669983,704.669983,711.380005,711.380005,631600
2019-01-28,713.409973,717.309998,711.960022,714.26001,714.26001,664300
2019-01-29,712.650024,713.650024,705.890015,710.98999,710.98999,703400
2019-01-30,712.869995,716.77002,711.710022,715.299988,715.299988,719200
2019-01-31,719.929993,721.580017,714.309998,716.859985,716.859985,684500
2019-02-01,719.080017,719.73999,714.659973,716.919983,716.919983,643300
2019-02-07,719.859985,728.890015,717.530029,728.789978,728.789978,713100
2019-02-08,726.400024,729.73999,724.98999,728.73999,728.73999,736600
2019-02-11,731.820007,733.940002,730.320007,733.469971,733.469971,704600
2019-02-12,734.869995,735.140015,729.52002,730.580017,730.580017,692200
2019-02-13,734.559998,740.440002,733.369995,739.909973,739.909973,798600
2019-02-14,740.690002,742.460022,737.070007,742.27002,742.27002,738300
2019-02-15,741.530029,743.200012,734.369995,738.659973,738.659973,738000
2019-02-18,743.530029,746.809998,742.5,745.330017,745.330017,734400
2019-02-19,746.5,748.690002,741.200012,748.049988,748.049988,793900
2019-02-20,749.52002,751.659973,747.559998,750.690002,750.690002,885300
2019-02-21,752.299988,752.75,744.869995,747.330017,747.330017,956600
2019-02-22,747.25,748.109985,740.940002,743.380005,743.380005,965500
2019-02-25,746.789978,750.929993,746.299988,750.400024,750.400024,735800
2019-02-26,752.25,753.659973,746.119995,747.090027,747.090027,956600
2019-02-27,748.109985,752.159973,747.159973,752.159973,752.159973,921700
2019-02-28,753.289978,755.919983,731.25,731.25,731.25,1016500
2019-03-04,739.190002,748.869995,739.190002,748.070007,748.070007,707600
2019-03-05,746.900024,751.450012,743.799988,747.950012,747.950012,753400
