조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 강수량,,,,
,검색구분 : 일,,,,
,지역/지점명 : 서울,,,,
,기간 : 2019 ~ 2021년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	",,,,,
"	",,,,,
"	지점번호",지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
"	108",서울,2019-01-01,,,
"	108",서울,2019-01-02,,,
"	108",서울,2019-01-03,,,
"	108",서울,2019-01-04,,,
"	108",서울,2019-01-05,,,
"	108",서울,2019-01-06,,,
"	108",서울,2019-01-07,,,
"	108",서울,2019-01-08,,,
"	108",서울,2019-01-09,,,
"	108",서울,2019-01-10,,,
"	108",서울,2019-01-11,,,
"	108",서울,2019-01-12,,,
"	108",서울,2019-01-13,,,
"	108",서울,2019-01-14,,,
"	108",서울,2019-01-15,0,,
"	108",서울,2019-01-16,0,,
"	108",서울,2019-01-17,0,,
"	108",서울,2019-01-18,,,
"	108",서울,2019-01-19,,,
"	108",서울,2019-01-20,,,
"	108",서울,2019-01-21,0,,
"	108",서울,2019-01-22,,,
"	108",서울,2019-01-23,,,
"	108",서울,2019-01-24,,,
"	108",서울,2019-01-25,,,
"	108",서울,2019-01-26,,,
"	108",서울,2019-01-27,,,
"	108",서울,2019-01-28,0,,
"	108",서울,2019-01-29,,,
"	108",서울,2019-01-30,,,
"	108",서울,2019-01-31,,,
"	108",서울,2019-02-01,0.3,,
"	108",서울,2019-02-02,0,,
"	108",서울,2019-02-03,16,,
"	108",서울,2019-02-04,,,
"	108",서울,2019-02-05,,,
"	108",서울,2019-02-06,,,
"	108",서울,2019-02-07,0.5,,
"	108",서울,2019-02-08,,,
"	108",서울,2019-02-09,,,
"	108",서울,2019-02-10,,,
"	108",서울,2019-02-11,,,
"	108",서울,2019-02-12,0,,
"	108",서울,2019-02-13,,,
"	108",서울,2019-02-14,,,
"	108",서울,2019-02-15,2.2,,
"	108",서울,2019-02-16,0.2,,
"	108",서울,2019-02-17,,,
"	108",서울,2019-02-18,,,
"	108",서울,2019-02-19,4.6,,
"	108",서울,2019-02-20,0,,
"	108",서울,2019-02-21,,,
"	108",서울,2019-02-22,,,
"	108",서울,2019-02-23,,,
"	108",서울,2019-02-24,,,
"	108",서울,2019-02-25,,,
"	108",서울,2019-02-26,,,
"	108",서울,2019-02-27,,,
"	108",서울,2019-02-28,,,
"	108",서울,2019-03-01,,,
"	108",서울,2019-03-02,,,
"	108",서울,2019-03-03,,,
"	108",서울,2019-03-04,,,
"	108",서울,2019-03-05,,,
"	108",서울,2019-03-06,,,
"	108",서울,2019-03-07,,,
"	108",서울,2019-03-08,,,
"	108",서울,2019-03-09,,,
"	108",서울,2019-03-10,,,
"	108",서울,2019-03-11,0,,
"	108",서울,2019-03-12,0,,
"	108",서울,2019-03-13,0,,
"	108",서울,2019-03-14,0,,
"	108",서울,2019-03-15,3.5,,
"	108",서울,2019-03-16,,,
"	108",서울,2019-03-17,,,
"	108",서울,2019-03-18,,,
"	108",서울,2019-03-19,,,
"	108",서울,2019-03-20,16.5,,
"	108",서울,2019-03-21,3.3,,
"	108",서울,2019-03-22,,,
